Category,Agent Name,GitHub URL,Stars,License,SMB Use Case,Integration Effort,Recommended Price,Priority
Customer Support,Chatwoot,https://github.com/chatwoot/chatwoot,22k+,MIT,"Omnichannel support (web, email, WhatsApp, SMS)",Medium,$99-299/mo,🥇 High
Customer Support,Hexabot,https://github.com/Hexastack/Hexabot,1k+,AGPL,Multi-channel chatbot builder with visual editor,Low,$79-149/mo,🥈 Medium
Customer Support,Tiledesk,https://github.com/tiledesk,2k+,MIT,No-code chatbot + human handoff,Low,$99-199/mo,🥈 Medium
Customer Support,LobeChat,https://github.com/lobehub/lobe-chat,55k+,MIT,Self-hosted ChatGPT alternative with plugins,Medium,$149-299/mo,🥉 Low
Appointment Booking,Easy!Appointments,https://github.com/alextselegidis/easyappointments,3k+,GPL-3.0,Self-hosted booking system,Low,$49-99/mo,🥈 Medium
Appointment Booking,Appointment Agent,https://github.com/mjunaidca/appointment-agent,200+,MIT,LangGraph + Google Calendar + Gmail integration,Medium,$149-399/mo,🥇 High
Appointment Booking,MedoraAI,https://github.com/extremecoder-rgb/medoraAI,100+,MIT,Voice-first medical appointment booking,Medium,$199-499/mo,🥇 High
Appointment Booking,AI Booking System,https://github.com/aniket-work/Lets-Build-Online-Booking-System-Using-AI-Agents,50+,MIT,Streamlit + LangChain booking manager,Low,$79-149/mo,🥉 Low
Sales & SDR,SalesGPT,https://github.com/filip-michalsky/SalesGPT,2k+,MIT,AI sales conversations + Stripe integration,Medium,$199-499/mo,🥇 High
Sales & SDR,Open-SDR,https://github.com/MatthewDailey/open-sdr,500+,MIT,Lead research + outreach automation via MCP,Medium,$149-299/mo,🥈 Medium
Sales & SDR,Knotie-AI,https://github.com/avijeett007/Knotie-AI,300+,MIT,Inbound/outbound AI sales agent,Medium,$199-399/mo,🥈 Medium
Sales & SDR,Sales Outreach Automation,https://github.com/kaymen99/sales-outreach-automation-langgraph,200+,MIT,"Lead research + CRM integration (HubSpot, Airtable)",Medium,$149-299/mo,🥈 Medium
Sales & SDR,AI SDR Agent,https://github.com/brightdata/ai-sdr-bdr-agent,100+,MIT,CrewAI multi-agent SDR system,High,$299-599/mo,🥉 Low
Invoice Processing,Invoice Processing AI,https://github.com/ruizguille/invoice-processing,100+,MIT,GPT-4o invoice extraction → Excel,Low,$79-199/mo,🥇 High
Invoice Processing,LlamaOCR,https://github.com/yYorky/LlamaOCR,500+,MIT,Llama 3.2 Vision for invoice OCR,Low,$49-99/mo,🥈 Medium
Invoice Processing,GenAI Invoice Processor,https://github.com/aws-samples/genai-invoice-processor,100+,MIT-0,Bedrock + Claude for invoice extraction,Medium,$99-199/mo,🥈 Medium
Invoice Processing,Invoice Automation AI,https://github.com/shrestha-sachin/invoice-automation-ai,50+,MIT,n8n workflow + Azure OpenAI,Low,$79-149/mo,🥉 Low
Healthcare,AI Healthcare Appointment,https://github.com/sujitmahapatra/AI-Healthcare-Appointment-System,50+,MIT,Patient scheduling + AI chatbot,Medium,$199-399/mo,🥈 Medium
